cierre_id,instalacion_id,rut,fecha_cierre,fecha_reapertura
0,35,23748548-3,2010-01-02 16:58:28,2010-01-17 03:55:58
1,161,27143992-k,2010-01-05 01:20:29,2010-01-19 13:01:34
2,93,82833215-5,2010-01-08 22:42:07,2010-01-19 23:15:19
3,172,12348490-8,2010-01-19 20:43:52,2010-02-03 10:33:52
4,97,87544765-3,2010-01-24 16:04:34,2010-02-04 20:07:53
5,176,77484278-0,2010-01-29 05:59:51,2010-02-06 15:54:08
6,160,23298314-0,2010-01-29 22:52:04,2010-02-05 05:26:47
7,110,29637564-0,2010-01-31 12:52:54,2010-02-12 20:18:02
8,26,43922451-7,2010-02-11 05:07:10,2010-02-25 05:13:46
9,66,95932617-7,2010-02-14 16:54:07,2010-02-24 19:38:11
10,8,35480818-8,2010-02-17 15:41:54,2010-03-01 03:22:06
11,108,63824003-3,2010-02-17 17:07:24,2010-02-22 06:20:11
12,41,38470405-0,2010-02-19 23:24:50,2010-03-01 10:57:43
13,166,84593882-2,2010-02-23 13:23:30,2010-03-02 19:12:36
14,155,81207716-3,2010-02-23 22:06:50,2010-03-09 02:11:05
15,1,39038168-9,2010-02-24 02:12:15,2010-03-01 02:49:22
16,108,51853396-7,2010-02-28 13:06:13,2010-03-08 00:32:50
17,56,77941465-5,2010-03-06 13:03:18,2010-03-21 02:39:53
18,54,79348268-k,2010-03-10 10:03:39,2010-03-24 00:51:12
19,117,38717290-4,2010-03-20 14:07:18,2010-04-02 23:46:59
20,147,16836029-0,2010-03-21 00:38:33,2010-04-04 04:35:11
21,183,34776869-3,2010-03-28 04:27:27,2010-04-07 15:58:53
22,147,16836029-0,2010-04-04 15:24:21,2010-04-12 02:21:46
23,111,45644100-9,2010-04-06 07:49:17,2010-04-15 22:21:02
24,177,24129722-5,2010-04-12 05:14:46,2010-04-17 12:34:49
25,110,29637564-0,2010-04-13 01:07:21,2010-04-23 05:27:10
26,102,34643031-1,2010-04-16 01:14:24,2010-04-28 02:11:09
27,76,10537138-1,2010-04-18 03:22:05,2010-04-28 12:43:04
28,12,69265725-k,2010-04-21 03:02:20,2010-05-03 16:46:21
29,214,19706256-8,2010-05-05 20:34:11,2010-05-17 01:51:48
30,90,24878659-0,2010-05-10 13:07:11,2010-05-18 16:55:52
31,193,66899113-0,2010-05-13 06:54:39,2010-05-21 13:11:37
32,214,63459997-5,2010-05-15 02:41:35,2010-05-25 11:16:36
33,152,69691126-6,2010-05-18 05:59:08,2010-05-23 21:54:54
34,74,72309503-4,2010-05-20 12:24:07,2010-06-04 01:52:53
35,3,33078552-7,2010-05-28 18:20:46,2010-06-05 07:29:39
36,184,45717384-9,2010-06-01 20:44:14,2010-06-10 20:46:07
37,153,38631846-8,2010-06-02 05:06:45,2010-06-09 14:38:50
38,210,83386046-1,2010-06-08 03:32:37,2010-06-20 07:36:48
39,6,95541819-0,2010-06-09 06:00:13,2010-06-15 07:18:36
40,15,67710168-7,2010-06-17 00:03:32,2010-06-28 03:33:01
41,184,52158784-9,2010-06-19 08:27:08,2010-06-25 17:23:59
42,176,77484278-0,2010-06-26 11:24:50,2010-07-08 11:36:53
43,67,11636170-1,2010-06-30 07:15:56,2010-07-06 18:46:25
44,50,62550748-0,2010-07-20 19:56:31,2010-07-24 08:31:30
45,24,69141385-3,2010-07-21 14:36:25,2010-07-25 01:42:59
46,9,70106627-8,2010-07-22 06:07:05,2010-07-30 22:34:42
47,116,65346159-3,2010-07-25 05:17:24,2010-07-29 09:16:51
48,21,56093204-9,2010-07-28 02:07:21,2010-08-03 05:40:41
49,40,22001298-0,2010-08-03 11:34:37,2010-08-13 21:56:24
50,146,50511840-5,2010-08-05 23:46:53,2010-08-20 05:28:36
51,54,48925896-k,2010-08-08 22:59:48,2010-08-14 07:18:36
52,207,35785969-7,2010-08-13 19:22:31,2010-08-23 19:53:44
53,117,89751595-4,2010-08-25 00:28:23,2010-09-06 13:44:50
54,200,35662780-6,2010-09-08 22:07:44,2010-09-17 06:18:08
55,135,48269008-4,2010-09-15 05:17:07,2010-09-24 15:33:46
56,33,56292778-6,2010-09-15 22:40:35,2010-09-21 04:18:09
57,82,64268937-1,2010-09-18 20:13:54,2010-09-24 09:19:02
58,0,75295314-7,2010-09-23 20:03:35,2010-10-05 21:19:35
59,94,41361801-0,2010-09-24 11:39:42,2010-10-07 13:08:07
60,103,95667888-9,2010-09-26 08:35:20,2010-10-09 23:48:50
61,64,48007583-8,2010-09-27 07:42:11,2010-10-05 14:24:39
62,16,86164302-6,2010-09-27 21:48:09,2010-10-06 23:02:14
63,164,75397524-1,2010-10-08 13:13:34,2010-10-19 05:52:28
64,21,35340502-0,2010-10-14 10:10:33,2010-10-22 16:06:43
65,196,22060310-5,2010-10-23 01:43:45,2010-11-04 09:35:47
66,113,94888169-1,2010-10-31 11:13:35,2010-11-04 13:49:15
67,14,85297873-2,2010-11-05 09:08:47,2010-11-14 22:27:07
68,153,47326835-3,2010-11-12 06:17:38,2010-11-24 07:40:19
69,62,76849115-1,2010-11-27 16:40:48,2010-12-08 00:53:06
70,210,33802463-0,2010-11-28 01:50:58,2010-12-10 10:32:38
71,109,40503382-8,2010-11-29 20:27:07,2010-12-10 10:12:28
72,182,81234956-2,2010-12-03 21:24:38,2010-12-12 09:57:40
73,8,87631642-0,2010-12-05 13:56:56,2010-12-14 02:00:38
74,103,11784418-8,2010-12-09 02:06:38,2010-12-20 08:03:26
75,10,28060713-4,2010-12-13 14:04:26,2010-12-18 05:12:06
76,201,86683089-4,2010-12-13 15:37:33,2010-12-25 04:30:27
77,74,42300579-3,2010-12-17 22:42:27,2010-12-23 02:01:37
78,91,74415365-4,2010-12-27 21:18:37,2011-01-10 08:49:35
79,209,26257768-6,2010-12-29 17:57:35,2011-01-08 20:02:49
80,148,89671041-9,2011-01-01 06:44:13,2011-01-13 16:35:44
81,105,63382431-2,2011-01-20 14:29:52,2011-01-26 15:13:17
82,34,83905334-7,2011-01-22 03:12:51,2011-02-05 03:51:32
83,138,21201270-k,2011-01-23 22:45:51,2011-01-31 11:30:07
84,48,37285914-8,2011-01-24 23:18:26,2011-02-02 05:16:51
85,80,97343582-5,2011-01-25 06:21:52,2011-02-05 14:30:31
86,76,10537138-1,2011-01-30 21:28:28,2011-02-07 08:20:17
87,62,36600416-5,2011-01-31 20:22:55,2011-02-09 01:58:02
88,151,96863860-2,2011-02-02 01:42:53,2011-02-15 15:08:32
89,170,51193594-6,2011-02-07 18:55:40,2011-02-20 08:13:15
90,32,99233768-0,2011-02-08 16:17:18,2011-02-13 19:32:41
91,71,81698647-8,2011-02-09 01:43:59,2011-02-14 10:24:43
92,108,48459253-5,2011-02-13 21:06:15,2011-02-17 01:05:39
93,209,45467235-6,2011-02-18 10:38:53,2011-02-22 18:32:34
94,160,51317447-0,2011-02-21 21:38:23,2011-03-06 12:01:30
95,22,63974341-1,2011-02-23 03:02:22,2011-02-26 14:21:07
96,52,61993529-2,2011-02-25 08:10:50,2011-03-01 00:16:31
97,21,74759859-2,2011-03-07 06:01:45,2011-03-20 12:44:22
98,114,89793517-1,2011-03-07 10:32:36,2011-03-18 00:38:20
99,38,73222374-6,2011-03-10 06:01:15,2011-03-15 12:18:55
100,31,90471139-k,2011-03-19 08:20:07,2011-04-03 00:13:42
101,185,86555166-5,2011-03-24 10:06:38,2011-03-30 17:27:26
102,57,76081261-7,2011-03-25 11:46:32,2011-04-01 19:47:43
103,142,15591154-9,2011-03-30 09:04:22,2011-04-09 13:41:19
104,190,28273728-0,2011-03-31 14:40:26,2011-04-07 14:53:32
105,176,72810804-5,2011-04-03 11:30:19,2011-04-13 20:55:50
106,97,60926655-4,2011-04-05 09:50:39,2011-04-19 11:36:36
107,132,54363208-2,2011-04-07 03:07:09,2011-04-18 10:18:27
108,93,14982281-k,2011-04-09 02:06:42,2011-04-19 08:33:02
109,67,58038177-4,2011-04-18 06:24:21,2011-04-22 21:04:21
110,127,14343597-0,2011-04-19 21:54:39,2011-05-02 09:49:12
111,135,70624789-0,2011-04-29 19:02:02,2011-05-10 20:16:00
112,114,95403427-5,2011-05-02 12:23:42,2011-05-10 12:50:28
113,13,52176953-k,2011-05-14 08:41:02,2011-05-23 15:43:38
114,86,34414978-k,2011-05-19 01:24:48,2011-06-02 02:27:28
115,84,72429091-4,2011-05-19 04:05:01,2011-06-02 19:32:42
116,101,31706054-8,2011-05-23 20:15:34,2011-05-30 01:42:21
117,77,81600879-4,2011-05-28 03:31:18,2011-06-06 19:07:12
118,116,86367440-9,2011-06-01 16:42:14,2011-06-15 18:52:13
119,180,61514910-1,2011-06-16 19:20:46,2011-06-29 07:19:08
120,72,46012714-9,2011-06-17 19:01:16,2011-06-27 21:00:10
121,212,61774912-2,2011-06-19 09:33:21,2011-07-01 01:44:28
122,113,81401624-2,2011-06-23 13:43:04,2011-07-02 18:58:47
123,172,59959821-9,2011-06-25 09:42:00,2011-06-28 18:23:17
124,123,56229978-5,2011-07-07 22:03:41,2011-07-10 22:20:20
125,210,19735595-6,2011-07-11 02:27:53,2011-07-25 09:25:43
126,66,43953571-7,2011-07-13 22:37:33,2011-07-25 14:13:48
127,14,10544563-6,2011-07-16 00:49:01,2011-07-24 08:23:59
128,106,77520112-6,2011-07-20 07:56:09,2011-07-23 13:08:20
129,2,93840785-1,2011-07-26 06:38:35,2011-07-30 20:12:03
130,215,99075946-4,2011-07-28 07:38:39,2011-08-11 10:18:27
131,189,66361406-1,2011-08-05 07:27:58,2011-08-09 07:34:00
132,213,13370165-6,2011-08-12 16:33:49,2011-08-16 04:17:18
133,21,82376572-k,2011-08-14 15:58:33,2011-08-29 06:34:33
134,32,25750021-7,2011-08-19 03:13:29,2011-08-22 15:46:04
135,54,79348268-k,2011-08-23 06:30:26,2011-09-05 11:11:51
136,155,85384785-2,2011-08-26 16:40:54,2011-08-31 19:45:57
137,46,91888493-9,2011-08-28 07:26:29,2011-08-31 21:51:28
138,159,95185947-8,2011-08-30 18:12:08,2011-09-09 01:13:52
139,191,29415476-0,2011-08-31 07:38:29,2011-09-11 10:55:33
140,203,26196183-0,2011-09-01 00:18:48,2011-09-06 04:32:29
141,11,59260036-6,2011-09-05 16:18:37,2011-09-12 01:09:53
142,86,42113348-4,2011-09-07 21:23:26,2011-09-15 23:22:18
143,18,70638696-3,2011-09-08 17:14:32,2011-09-22 22:16:03
144,163,92554015-3,2011-09-12 00:41:48,2011-09-20 03:45:25
145,196,45355149-0,2011-09-20 00:24:05,2011-09-26 04:58:51
146,176,42678415-7,2011-09-22 20:16:46,2011-10-05 06:17:17
147,100,34996262-4,2011-09-29 12:20:29,2011-10-13 15:23:09
148,160,82319208-8,2011-10-09 01:44:14,2011-10-22 12:45:04
149,19,21759577-0,2011-10-09 02:29:22,2011-10-17 03:32:55
150,133,95226644-6,2011-10-11 09:27:17,2011-10-20 18:44:49
151,101,80885102-4,2011-10-16 17:57:22,2011-10-24 07:56:01
152,29,28231652-8,2011-11-01 18:57:59,2011-11-12 20:18:18
153,138,89512502-4,2011-11-03 14:19:40,2011-11-08 22:31:41
154,48,11554909-k,2011-11-10 07:24:18,2011-11-20 11:38:39
155,0,12842111-4,2011-11-10 12:49:16,2011-11-15 12:57:03
156,20,78918085-7,2011-11-12 19:17:17,2011-11-16 02:33:59
157,95,38235761-2,2011-11-14 07:08:12,2011-11-23 14:35:00
158,149,13690129-k,2011-11-25 08:04:44,2011-11-30 11:53:57
159,130,16636734-4,2011-11-28 13:26:20,2011-12-04 23:45:18
160,131,70582800-8,2011-12-02 18:57:07,2011-12-10 09:36:16
161,68,99294258-4,2011-12-04 04:03:51,2011-12-08 16:51:29
162,149,79695896-0,2011-12-06 12:32:45,2011-12-15 04:54:39
163,93,44372095-2,2011-12-08 03:42:36,2011-12-15 04:53:30
164,174,14292252-5,2011-12-14 00:35:11,2011-12-28 11:48:45
165,150,43654491-k,2011-12-15 03:12:51,2011-12-24 09:13:55
166,207,35785969-7,2011-12-22 11:09:53,2012-01-04 00:36:01
167,0,47981838-k,2011-12-27 00:26:02,2012-01-09 16:57:02
168,22,63974341-1,2011-12-29 06:38:21,2012-01-05 15:44:08
169,129,42538060-5,2012-01-05 12:05:00,2012-01-10 14:10:21
170,47,27183294-k,2012-01-09 04:34:41,2012-01-19 06:03:18
171,100,56474633-9,2012-01-09 17:12:40,2012-01-13 01:32:06
172,72,22637365-9,2012-01-11 08:30:45,2012-01-16 19:12:04
173,103,73026642-1,2012-01-12 04:16:30,2012-01-20 17:35:02
174,96,44770429-3,2012-01-13 12:47:13,2012-01-21 15:11:06
175,188,83584289-4,2012-01-15 02:56:01,2012-01-21 06:24:21
176,80,85301240-8,2012-01-16 20:13:04,2012-01-26 12:15:20
177,103,44715611-3,2012-01-23 00:43:47,2012-01-31 06:54:04
178,156,52778909-5,2012-01-27 05:38:53,2012-02-03 12:05:26
179,130,16636734-4,2012-01-30 15:11:55,2012-02-10 22:00:44
180,82,99466469-7,2012-02-06 10:45:47,2012-02-20 13:18:35
181,189,45347413-5,2012-02-11 12:35:30,2012-02-23 02:37:09
182,155,43161018-3,2012-03-03 06:52:38,2012-03-06 18:29:22
183,6,45453849-8,2012-03-03 13:11:39,2012-03-14 13:44:29
184,116,38072383-2,2012-03-08 04:05:06,2012-03-11 04:43:27
