instalacion_id,rut
0,35115737-2
1,92060023-9
2,89265324-0
3,27626683-7
4,20789297-1
5,19410523-1
6,53281073-6
7,59749734-2
8,38629675-8
9,64367868-3
10,11118739-8
11,70366259-5
12,82254885-7
13,10339840-1
14,45624249-9
15,31359212-k
16,87624695-3
17,73454838-3
18,12920124-k
19,50942616-3
20,96828461-4
21,35340502-0
22,83330704-5
23,38578737-5
24,59129614-0
25,50814284-6
26,15333675-k
27,84327091-3
28,94362008-3
29,54122700-8
30,45856781-6
31,90471139-k
32,25450277-4
33,88408240-4
34,14200344-9
35,41775238-2
36,58963604-k
37,25696685-9
38,37797879-k
39,43329730-k
40,23494123-2
41,23686910-5
42,21016824-9
43,99302343-4
44,18984900-1
45,52698782-9
46,77191435-7
47,90730270-9
48,37285914-8
49,14408869-7
50,46531952-6
51,44626695-0
52,61993529-2
53,91258242-6
54,79348268-k
55,31194216-6
56,63968995-6
57,76762441-7
58,67314332-6
59,75910499-4
60,54121962-5
61,42714709-6
62,36600416-5
63,26249833-6
64,48007583-8
65,14585428-8
66,34975310-3
67,58038177-4
68,48592540-6
69,16943787-4
70,12969098-4
71,23711490-6
72,72018152-5
73,88667817-7
74,47121914-2
75,34823992-9
76,10537138-1
77,79974368-k
78,45026733-3
79,92244003-4
80,50319391-4
81,69767927-8
82,98357275-8
83,41966463-4
84,35155157-7
85,65485230-8
86,95423202-6
87,80640357-1
88,54480341-7
89,56744324-8
90,32153494-5
91,13863556-2
92,49552236-9
93,44372095-2
94,60727093-7
95,33461512-k
96,81203114-7
97,60926655-4
98,99837067-1
99,92390198-1
100,34996262-4
101,35414863-3
102,88107942-9
103,73026642-1
104,22150901-3
105,67753422-2
106,98661210-6
107,12957899-8
108,25919808-9
109,12205074-2
110,29637564-0
111,41325900-2
112,38100857-6
113,46805723-9
114,82533150-6
115,89477804-0
116,95199785-4
117,89751595-4
118,54546935-9
119,59105378-7
120,66976509-6
121,70368495-5
122,18902520-3
123,97632307-6
124,80228379-2
125,87371798-k
126,41659296-9
127,15955355-8
128,53383454-k
129,40161573-3
130,26135720-8
131,30991735-9
132,54363208-2
133,48996426-0
134,49628420-8
135,48269008-4
136,91957637-5
137,37780063-k
138,44604413-3
139,40597717-6
140,88732812-9
141,58648727-2
142,12177977-3
143,37630974-6
144,52189199-8
145,40644356-6
146,75020925-4
147,37376941-k
148,97163657-2
149,29004298-4
150,53087333-1
151,76362168-5
152,69691126-6
153,23047484-2
154,49641463-2
155,64501886-9
156,42494071-2
157,78301240-5
158,96213582-k
159,17341224-k
160,96735305-1
161,83029887-8
162,70551235-3
163,71389826-0
164,75397524-1
165,67902197-4
166,84593882-2
167,81881771-1
168,57181678-4
169,14495790-3
170,58378678-3
171,94559048-3
172,28673876-1
173,69822376-6
174,11904025-6
175,24927693-6
176,77484278-0
177,44973013-5
178,24655915-5
179,15795964-6
180,92946711-6
181,11123767-0
182,58812264-6
183,26849996-2
184,52158784-9
185,79725852-0
186,35806868-5
187,70433997-6
188,60747994-1
189,32086803-3
190,95711978-6
191,32359787-1
192,50728559-7
193,93591226-1
194,54593722-0
195,17611254-9
196,93176945-6
197,13947632-8
198,71316667-7
199,90494178-6
200,78413522-5
201,52258791-5
202,91346186-k
203,75129314-3
204,10927357-0
205,42868972-0
206,45273848-1
207,34039148-9
208,68147125-1
209,80558312-6
210,22249624-1
211,52792841-9
212,56405384-8
213,13370165-6
214,66714421-3
215,60456055-1
