rut,instalacion_id
10094201-1,117
10116173-0,123
10119008-0,69
10165029-4,36
10206801-7,77
10254486-2,60
10339840-1,13
10348170-8,167
10517073-4,140
10537138-1,76
10544563-6,14
10619372-k,139
10619776-8,86
10669832-5,16
10742402-4,32
10927357-0,204
10959343-5,141
11077126-6,166
11087572-k,3
11091024-k,171
11118739-8,10
11123767-0,181
11271286-0,130
11341475-8,86
11439340-1,144
11453035-2,211
11544489-1,182
11554909-k,48
11557739-5,75
11636170-1,67
11644968-4,158
11750224-4,146
11784418-8,103
11798235-1,79
11904025-6,174
12033288-0,92
12166206-k,58
12177977-3,142
12187269-2,145
12205074-2,109
12348490-8,172
12412672-k,44
12460058-8,85
12655924-0,205
12673702-5,57
12815044-7,78
12842111-4,0
12874915-2,215
12885071-6,101
12920124-k,18
12957899-8,107
12969098-4,70
13068977-9,33
13093741-1,14
13295853-k,58
13370165-6,213
13463271-2,124
13572944-2,120
13592940-9,142
13635178-8,75
13690129-k,149
13700503-4,86
13863556-2,91
13890944-1,136
13904984-5,11
13938471-7,34
13947632-8,197
13965853-1,92
13993032-0,211
14002078-8,30
14046488-0,184
14106853-9,73
14114400-6,28
14156767-5,19
14197251-0,61
14200344-9,34
14240870-8,51
14292252-5,174
14309109-0,81
14343597-0,127
14377401-5,48
14408869-7,49
14495790-3,169
14585428-8,65
14736236-6,42
14761964-2,143
14811794-2,179
14825989-5,83
14885951-5,76
14920531-4,70
14982281-k,93
15119459-1,71
15286948-7,131
15298663-7,152
15333675-k,26
15369176-2,97
15373219-1,61
15451762-6,85
15460166-k,136
15591154-9,142
15614052-k,6
15623590-3,84
15683276-6,92
15765031-9,183
15795964-6,179
15823641-9,186
15955355-8,127
16008678-5,89
16045471-7,12
16222268-6,110
16239796-6,102
16264932-9,3
16315937-6,16
16413527-6,58
16483997-4,178
16506263-9,77
16636734-4,130
16670974-1,98
16687104-2,115
16689945-1,193
16697747-9,44
16775393-0,210
16792411-5,59
16833235-1,17
16836029-0,147
16943787-4,69
17070747-8,214
17159919-9,142
17167867-6,198
17195049-k,99
17263415-k,95
17286061-3,88
17327495-5,178
17341224-k,159
17371278-2,82
17459269-1,166
17474518-8,69
17509928-k,108
17611254-9,195
17677635-8,77
17723136-3,114
18067050-5,157
18076157-8,197
18165501-1,38
18167947-6,141
18208603-7,191
18446690-2,145
18454632-9,137
18665525-7,15
18768050-6,6
18812547-6,183
18902520-3,122
18912034-6,3
18969557-8,160
18970874-2,85
18984900-1,44
19027799-2,143
19130484-5,43
19142189-2,87
19150492-5,120
19209075-k,155
19386119-9,42
19410523-1,5
19528671-k,174
19533896-5,48
19552470-k,113
19680912-0,151
19706256-8,214
19735595-6,210
19844189-9,37
19942007-0,192
20026905-5,193
20032612-1,77
20034783-8,147
20168747-0,146
20180335-7,129
